id,cantor,título,letra
11,Raphaela Santos,Meio Termo,"Vida
Teu cheiro ainda tá na minha camisa
Toda vez que cê vai, uma parte fica
Só pra me assombrar

Que por mais que eu queira, você não é minha ainda
Se eu der bobeira
O que não falta é marmanjo na fila
Torcendo pra gente não vingar

Mas é a mesma coisa do lado de cá
Se não levar a gente a sério, alguém vai levar
Decide logo aí, porque água morna serve nem pra chá

Se cê não quiser nada sério, eu espero
Que não se arrependa de me devolver pra rua
Não tem meio-termo, eu não sou bagunça
Ou ama pra porra ou porra nenhuma
Se não quer nada sério, eu espero
Que não se arrependa de me devolver pra rua
Não tem meio-termo, eu não sou bagunça
Ou ama pra porra ou porra nenhuma

A favorita

Ô, vida
Teu cheiro ainda tá na minha camisa
Toda vez que cê vai, uma parte fica
Só pra me assombrar
Que por mais que eu queira, você não é minha ainda
Se eu der bobeira
O que não falta é marmanjo na fila
Torcendo pra gente não vingar
Mas é a mesma coisa do lado de cá
Se não levar a gente a sério, alguém vai levar
Decide logo aí, porque água morna serve nem pra chá

Se cê não quiser nada sério, eu espero
Que não se arrependa de me devolver pra rua
Não tem meio-termo, eu não sou bagunça
Ou ama pra porra ou porra nenhuma
Se não quer nada sério, eu espero
Que não se arrependa de me devolver pra rua
Não tem meio-termo, eu não sou bagunça
Ou ama pra porra ou porra nenhuma

Se não quer nada sério, eu espero
Que não se arrependa de me devolver pra rua
Não tem meio-termo, eu não sou bagunça
Ou ama pra porra ou porra nenhuma
Se não quer nada sério, eu espero
Que não se arrependa de me devolver pra rua
Não tem meio-termo, eu não sou bagunça
Ou ama pra porra ou porra nenhuma"
12,Raphaela Santos,Mil Perguntas,"Essa tua boca tá me convidando para te beijar (para te beijar)
Por que você insiste em me deixar triste
Quando tô tentando me aproximar?
Como uma pessoa pode ignorar sua felicidade? (Sua felicidade)
Se a gente já sabe que se ama tanto
Por que você pede para esperar?

Tenho mil perguntas, você tem desculpas
Eu só não entendo o que tá faltando pra você ficar

Tu não me assume, só me encontra de noite
Não se decide se me ama ou me ilude
Já que prefere minha cama que a sua
Escondido eu não quero mais
Tu não me assume, só me encontra de noite
Não se decide se me ama ou me ilude
Já que prefere minha cama que a sua
Escondido eu não quero mais

Essa tua boca tá me convidando para te beijar (para te beijar)
Por que você resiste em me deixar triste
Quando tô tentando me aproximar?
Como uma pessoa pode ignorar sua felicidade? (Sua felicidade)
Se a gente já sabe que se ama tanto
Por que você pede para esperar?

Tenho mil perguntas, você tem desculpas
Eu só não entendo o que tá faltando pra você ficar

Tu não me assume, só me encontra de noite
Não se decide se me ama ou me ilude
Já que prefere minha cama que a sua
Escondido eu não quero mais
Tu não me assume, só me encontra de noite
Não se decide se me ama ou me ilude
Já que prefere minha cama que a sua
Escondido eu não quero mais

Só me responda sim se for por amor
Me responda agora, eu tenho ansiedade
Veja até aonde a gente chegou
Só não diga que foi tudo uma ilusão

Tu não me assume, só me encontra de noite
Não se decide se me ama ou me ilude
Já que prefere minha cama que a sua
Escondido eu não quero mais
Tu não me assume, só me encontra de noite
Não se decide se me ama ou me ilude
Já que prefere minha cama que a sua
Escondido eu não quero mais

Essa tua boca tá me convidando para te beijar"
13,Raphaela Santos,Atuação,"Ontem quando fui deixar você
Radiante por te ver
Eu fiz a volta lentamente
Sorridente
Eu aumentei o som

Você esqueceu o celular
Eu pensei em desligar
Mas deixei ali do lado
Só que isso não foi nada bom

As mensagens não paravam de chegar
Peguei pra ver se era importante te avisar
O remetente era o mesmo das dez
Deu medo as coisas que estavam por vir

Mas meu instinto quis me proteger
O amor próprio então me obrigou a ler
E era um cara perguntando
Amor, posso te ver?

Diz por que você fez isso com meu coração
Merece um Oscar
Que brilhante atuação
Será que quando está com ele
Também finge que ama?

Quer saber
No fundo o que me fez ficar tão mal
Que os beijos, nossos planos
Nada foi real
Por que eu dormi com a inimiga em minha cama"
14,Raphaela Santos,Eu não sou ela,"O teu próximo amor
Não tem culpa do anterior
Nem dos problemas que ele te causou

Mas tem alguém
Mas tem alguém
Querendo ser
A melhor pessoa pra você
Preocupa não
Pra esse problema eu tenho a solução
Não vou fazer mal pra o seu coração

Eu não sou ela, eu não sou ela que te machucou
Eu não sou ela que te enganou
Quem tá falando é seu futuro amor

Eu não sou ela, eu não sou ela quem te machucou
Eu não sou ela quem te enganou
Quem tá falando é seu futuro amor
Esquece tudo que passou"
15,Raphaela Santos,Atual Idiota,"Idiota, como teve coragem
De prender um anjo desses na gaiola?
Idiota, ela tava na sua
Vacilão, você jogou a sorte fora

Vai ter que aguentar ela por aí
Livre pra voar, tão linda
Não vale surtar, aceita perder
É que ela já era dela antes de você

Imagina quando te perguntarem de mim
E você ter que responder assim

Ela tinha tudo, tudo que eu queria
Por fora ela é foda, por dentro mais ainda
Eu estraguei tudo por burrice minha
A coisa mais incrível que eu perdi na minha vida

Não tem volta, eu sou o ex dela, o atual idiota
Não tem volta, eu sou o ex dela, o atual idiota

Idiota, como teve coragem
De prender um anjo desses na gaiola?
Idiota, ela tava na sua
Vacilão, você jogou a sorte fora
Vai ter que aguentar ela por aí
Livre pra voar, tão linda
Não vale surtar, aceita perder
É que ela já era dela antes de você

Imagina quando te perguntarem de mim
E você ter que responder assim

Ela tinha tudo, tudo que eu queria
Por fora ela é foda, por dentro mais ainda
Eu estraguei tudo por burrice minha
A coisa mais incrível que eu perdi na minha vida

Não tem volta, eu sou o ex dela, o atual idiota
Não tem volta, eu sou o ex dela, o atual idiota

Ela tinha tudo, tudo que eu queria
Por fora ela é foda, por dentro mais ainda
Eu estraguei tudo por burrice minha
A coisa mais incrível que eu perdi na minha vida

Não tem volta, eu sou o ex dela, o atual idiota
Não tem volta, eu sou o ex dela, o atual idiota"
16,Raphaela Santos,Desbloqueado,"É, não é que seu espelho anda diferente
Tá refletindo um sorriso novo e mais atraente
Notei que seu cabelo tem mais brilho e tá cheia de vida
Seu olhar confirma que se sente muito mais bonita

Oh, a minha mão te procurou, não te sentiu
Disparei o meu sorriso que não te atingiu
Resumiu meu beijo em dois, três segundos e saiu
E esqueceu, desbloqueado, em cima da mesa
Celular vibrou: Vrum, a tela acesa e o contato estranho te perguntando

Cê já contou pra ele da gente?
Não esconde nada, não mente
Eu não dormi a noite te esperando impaciente
Cê' já contou pra ele da gente? Não esconde nada não mente
E esse digitando aí, tá' demorando tá' me consumindo
Oi?
Aqui quem fala é o que tá' sobrando, ela ainda não falou comigo mas
Calma, ela já tá indo

Ooh, a minha mão te procurou não te sentiu
Disparei o meu sorriso que não te atingiu
Resumiu meu beijo em dois, três segundos e saiu
E esqueceu, desbloqueado, em cima da mesa celular virou: Vrum, a tela acesa
E o contato estranho, te perguntando

Cê já contou pra ele da gente?
Não esconde nada, não mente
Eu não dormi a noite te esperando impaciente
Cê já contou pra ele da gente, não esconde nada não mente
E esse digitando aí, tá' demorando, tá me consumindo

Oi?
Aqui quem fala é o que tá sobrando
Ela ainda não falou comigo mas, calma, ela já tá indo"
17,Raphaela Santos,Frio da solidão,"Quando te vejo
Sinto frio em meu coração
Desesperado, está dizendo não
Fala pra mim
Que eu não mereço toda essa dor
Não faz assim, não me deixe aqui
No frio da solidão
Se você sentir a dor que estou sentindo vai voltar
E as lágrimas que você vê caindo vão secar
Se você sentir a dor que estou sentindo vai voltar
E as lágrimas que você vê caindo vão secar de amor
De amor, de amor
Vem, cura essa dor
E de amor, de amor

Fala pra mim
Que eu não mereço toda essa dor
Não faz assim, não me deixe aqui
No frio da solidão
Se você sentir a dor que estou sentindo vai voltar
E as lágrimas que você vê caindo vão secar
Se você sentir a dor que estou sentindo vai voltar
E as lágrimas que você vê caindo vão secar de amor
E de amor, de amor
Vem, cura essa dor
E de amor, de amor
Se você sentir a dor que estou sentindo vai voltar
E as lágrimas que você vê caindo vão secar
Se você sentir a dor que estou sentindo vai voltar
E as lágrimas que você vê caindo vão secar de amor
De amor, de amor
Vem, cura essa dor
De amor, de amor
Vem, cura essa dor"
18,Raphaela Santos,A Dor Desse Amor,"Perdoa se estou te ligando, amor, nesse momento
Mas me fazia falta escutar de novo só por um instante sua respiração
Só por um instante sua respiração

Desculpa, sei que estou quebrando o nosso juramento
Sei que existe outro em seu pensamento
Mas meu coração pediu pra te dizer

Que estou morrendo
Morrendo por dentro
E é tanta saudade morando em meu peito, uh
Vida, devolva minhas fantasias
Meus sonhos de viver a vida, devolva meu ar
Sem teu carinho, meu mundo fica tão vazio
E os dias quentes são tão frios
E as noites me trazem
A dor desse amor

Queria te dizer que hoje estou de bem com a vida
Que não senti nada com sua partida
Mas com um só dedo não se tapa o Sol

Que estou morrendo
Morrendo por dentro
E é tanta saudade morando em meu peito, uh
Vida, devolva minhas fantasias
Meus sonhos de viver a vida, devolva meu ar
Sem teu carinho, meu mundo fica tão vazio
E os dias quentes são tão frios
E as noites me trazem
A dor desse amor"
19,Raphaela Santos,Eu Posso Mudar,"Diz que não vai me deixar
Garoto eu não sei viver sem você
Não deixe o meu Sol se apagar
Não vá, sem você não vou suportar

Eu tenho defeitos
E você tem os seus
Entendo o seu jeito
Tente entender os meus

Por esse amor eu posso mudar
Me deixa só provar que eu te amo
Deixa eu te convencer que eu sou o amor da sua vida
Por esse amor eu posso mudar"
20,Raphaela Santos,Me Perdoa,"Nossa, eu nem sei por onde começar
Mas vou falar
Eu sei que vai doer, vamos chorar
Mas eu já não te amo

Calma, senta aqui
Não é fácil pra mim também sentir
A flor mudar de cor, virar capim
Mas acabou o encanto

Eu nunca fui santo
Mas eu tinha vontade de voltar pra casa
Falo isso aos prantos
Mas não dá pra negar que o fogo virou brasa

Desesperador, mas é melhor o fim
Pra não ter mais dor, eu vou ter que partir

Me perdoa, mas não vou voltar
Pode pôr alguém no meu lugar
Quem tá decidido dessa vez
Sou eu

Eu tô indo embora por nós dois
Sei que isso vai doer depois
Quem assume o risco dessa vez
Sou eu
Nossa, eu nem sei por onde começar
Mas vou falar
Eu sei que vai doer, vamos chorar
Mas eu já não te amo

Calma, senta aqui
Não é fácil pra mim também sentir
A flor mudar de cor, virar capim
Mas acabou o encanto

Eu nunca fui santo
Mas eu tinha vontade de voltar pra casa
Falo isso aos prantos
Mas não dá pra negar que o fogo virou brasa

Desesperador, mas é melhor o fim
Pra não ter mais dor, eu vou ter que partir

Me perdoa, mas não vou voltar
Pode pôr alguém no meu lugar
Quem tá decidido dessa vez
Sou eu

Eu tô indo embora por nós dois
Sei que isso vai doer depois
Quem assume o risco dessa vez
Sou eu

Dessa vez sou eu"
